Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
INTC,2010,8.675,1.6225,21.485,16.7975,0.2775,0.000183377,59833397809,66724836.50793651,0,1,0,0.4,1
T,2010,2.5675,0.3775,15.5375,6.07,1.4925,0.000992039,48495692872.09808,37405029.07936508,0,1,0,0.4,1
XOM,2010,6.9375,1.295,20.16,9.9675,1.0075,0.000188005,156738945459.02576,26432254.36507937,0,1,0,0.4,1
QCOM,2010,14.5825,2.225,15.9275,11.3925,0.4275,0.00010955,30435165113.48633,21332048.80952381,0,1,0,0.4,1
KO,2010,10.2575,3.0275,32.49,16.7275,1.0025,0.000196073,76612655987.09796,20568367.46031746,0,1,0,0.4,1
PBR,2010,2.505,0.405,16.6325,8.365,0.8999999999999999,0.000452386,37880024720.69514,16925136.904761903,0,1,0,0.4,1
HD,2010,12.4575,1.8525,15.02,6.79,1.1825,0.000173428,21764535119.41613,15789932.142857144,0,1,0,0.4,1
TXN,2010,8.3625,2.1425,27.56,21.905,0.265,0.000111848,16102102627.972242,14445609.126984129,0,1,0,0.4,1
TSM,2010,8.622499999999999,0,28.08,22.6575,0.26,0.000285851,34862572971.96463,14139352.38095238,0,1,0,0.4,1
COP,2010,4.3375,0.5800000000000001,14.1325,5.9775,1.305,0.000267333,31512093935.68443,13361262.845238095,0,1,0,0.4,1
BMY,2010,4.4075,1.7425,58.3475,28.3325,1.0025,0.000240296,31279740581.30537,12512150.793650793,0,1,0,0.4,1
PG,2010,10.02,1.765,18.63,9.135,1.07,0.000187051,93718836922,11967932.936507937,0,1,0,0.4,1
DIS,2010,14.315,1.4325,10.48,5.9075,0.76,4.9881920474374814e-05,52635718262,11964263.095238095,0,1,0,0.4,1
CVS,2010,9.002500000000001,0.855,9.9125,5.7975,0.6925,6.132369041270362e-05,28562525954.04948,10686116.26984127,0,1,0,0.4,1
UNH,2010,6.9075,1.155,18.0675,7.3075,1.4449999999999998,5.949582779816658e-05,23764797761.61168,9987091.27,0,1,0,0.4,1
NEM,2010,10.7575,1.44,14.7925,8.657499999999999,0.67,4.77342205956775e-05,44038869499.30724,7741037.301587301,0,1,0,0.4,1
LLY,2010,5.7275,2.45,44.625,16.655,1.555,0.000325039,21375914447.67719,7303888.492063492,0,1,0,0.4,1
UNP,2010,12.07,1.6375,14.155,5.69,1.46,9.540041694319294e-05,16433175624.364218,7207817.46,0,1,0,0.4,1
MDT,2010,10.2725,2.0475,21.2475,11.53,0.905,0.000124736,34597559248.11873,6666677.380952381,0,1,0,0.4,1
MMM,2010,8.1675,2.1175,28.245,13.9425,0.95,0.000159121,23567073603.12829,4909966.31,0,1,0,0.4,1
CSCO,2011,9.8425,1.4075,15.0925,8.335,0.8200000000000001,6.692704507796822e-05,45247396405.08379,68310700.79365079,0.5,0.5,0,0.4,4
INTC,2011,6.5725,1.6525,26.28,19.2725,0.455,0.000200126,65654762748.628975,61425900.79365079,0.25,1,0,0.5,3
T,2011,5.452500000000001,0.44,12.6975,5.27,1.44,0.000834503,57712557776.44869,38227821.515873015,0,0.5,0.5,0.30000000000000004,5
XOM,2011,6.02,1.41,24.6775,12.2825,1.025,0.000163146,1.96966E+11,21940620.23809524,0.25,1,0,0.5,3
ABT,2011,6.265,1.1675,19.7525,7.865,1.4275,0.000196249,31917770027,17734964.80952381,0.25,0.5,0.5,0.4,4
PBR,2011,2.2025,0.2224999999999999,12.555,7.27,0.7525,0.000482296,32919224827.386765,16343514.682539685,0.5,0.5,0.5,0.5,3
TSM,2011,9.09,0,26.055,20.5525,0.265,0.000241833,44049299604.10061,14703195.634920634,0.125,0.5,0,0.25,6
COP,2011,4.2025,0.695,17.1375,7.5375,1.2975,0.000232509,42183130073.211685,12600951.400793651,0.25,1,0.5,0.6,2
BMY,2011,9.7125,2.0325,21.4225,10.8375,0.985,0.000296246,37048733111.64584,12372700,0,0.5,0.5,0.30000000000000004,5
DIS,2011,13.3975,1.4875,11.715,6.61,0.7975,7.68939829197058e-05,59207146457.83673,11821111.507936507,0.25,1,0,0.5,3
HD,2011,12.0675,2.255,18.76,8.407499999999999,1.2825000000000002,0.000157689,25955276234.204006,11637141.666666666,0.25,1,0,0.5,3
TXN,2011,8.9475,2.2325,26.835,19.0775,0.65,9.893878537582806e-05,19661609992.28228,11285104.76190476,0,0.5,0,0.2,7
PG,2011,11.322500000000002,1.7675,16.81,8.157499999999999,1.0550000000000002,0.000189977,99177661948.98038,10490821.825396825,0,0.5,0.5,0.30000000000000004,5
CVS,2011,10.24,0.8975,9.055,5.3725,0.7025,7.971973927978694e-05,31974601200.973957,10020045.23809524,0,0.5,0,0.2,7
LLY,2011,6.545,2.225,34.89,14.765,1.315,0.000298282,23662453413.89338,8259085.714285715,0.25,0.5,0.5,0.4,4
UNH,2011,8.69,1.5025,18.5875,7.577500000000001,1.455,6.430272022883795e-05,33919315870.81069,7491096.428571428,0,1,0,0.4,4
AMGN,2011,9.1625,1.5375,17.1825,9.37,1.0125,5.927229375863694e-05,20919275045.96448,6931533.73,0.25,0.5,0,0.30000000000000004,5
MDT,2011,9.01,1.77,20.815,10.675,0.9275,0.000143595,33754845382,6530849.206349206,0.5,0.5,0,0.4,4
UNP,2011,11.65,1.905,17.025,7.0175,1.4225,0.000107178,21179615275.28127,6184597.619047619,0.25,1,0.5,0.6,2
DHR,2011,6.465,0.825,14.0675,8.27,0.77,1.23863641210326e-05,14204252855.43316,5840164.492063492,0.5,1,0,0.6000000000000001,1
INTC,2012,7.535,1.765,25.1375,16.552500000000002,0.545,0.00019311,76794362693.72609,42295023.6,0.16666666666666669,0.5,0,0.2666666666666667,10
CSCO,2012,8.692499999999999,1.275,15.555,8.6125,0.7825,0.000157882,49242689051.05591,41753722.8,0.6666666666666667,0.6666666666666666,0.6666666666666667,0.6666666666666667,2
PFE,2012,9.4425,1.21,13.2075,5.8975,1.2525,0.000260633,73606247933,35668674.12,0,1,0,0.4,7
WMT,2012,10.985,2.3025,21.8675,8.27,1.615,0.000126547,1.37092E+11,27717045.6,0,0.5,0.33333333333333337,0.2666666666666667,10
XOM,2012,5.66,1.4175,26.3275,13.045,0.99,0.000169992,219159472649.8758,15003279.6,0.33333333333333337,1,0.6666666666666667,0.6666666666666667,2
ABT,2012,6.91,1.465,22.1175,9.0675,1.45,0.000167201,40611083724.72394,14492313.46,0,0.6666666666666666,0.33333333333333337,0.33333333333333337,8
MRK,2012,12.0625,1.405,11.585,6.2875000000000005,0.8525,0.000246627,65140799012,14032195.58,0.33333333333333337,0.6666666666666666,0.16666666666666663,0.43333333333333335,6
QCOM,2012,12.5175,2.25,19.7375,15.09,0.2875,8.986483252619638e-05,46312454446.67686,12337575.6,0.5,1,0.6666666666666667,0.7333333333333334,1
PG,2012,12.3775,1.91,16.305,7.895,1.07,0.000192617,106417326898.36691,10839774.8,0,0.3333333333333333,0.16666666666666663,0.16666666666666666,12
IBN,2012,13.4675,0,31.6925,4.075,1.71,9.761938995428226e-05,20634118957.65214,10218390.6,0.33333333333333337,1,0.6666666666666667,0.6666666666666667,2
COP,2012,4.6625,0.8925,17.735,7.435,1.43,0.000280124,45074737814.68875,9350993.308,0,0.8333333333333333,0,0.3333333333333333,9
DIS,2012,14.295,1.8575,13.4975,7.3575,0.8325,6.838577783265731e-05,73605246730.71547,8927604.8,0.16666666666666669,1,0,0.4666666666666667,5
TXN,2012,14.19,2.1375,15.515,8.6,0.7975,0.000138518,19073007264.713657,8890889.6,0.33333333333333337,0.3333333333333333,0,0.2666666666666667,10
CVS,2012,11.75,1.1225,9.8425,5.69,0.7475,8.231787937001304e-05,41015218290.25695,7162994,0,0.6666666666666666,0,0.26666666666666666,11
UNH,2012,9.19,1.59,18.57,7.502499999999999,1.495,7.125492728061525e-05,40728478787.58856,6411194,0,0.6666666666666666,0,0.26666666666666666,11
BP,2012,3.85,0.5475000000000001,15.15,5.86,1.5475,0.000392109,52025775356.86076,6373840,0.33333333333333337,0.6666666666666666,0.6666666666666667,0.5333333333333334,4
UNP,2012,11.37,2.1775,19.9125,8.235,1.4075,0.000112062,26056386517.126465,4839572.8,0.33333333333333337,1,0.6666666666666667,0.6666666666666667,2
MDT,2012,8.6075,1.715,20.87,10.97,0.9225,0.000171064,37313048876,4817447.2,0.6666666666666667,0.6666666666666666,0.33333333333333337,0.6000000000000001,3
AMGN,2012,10.97,2.1975,20.52,8.1575,1.7425000000000002,0.000106996,29036827881.17821,4599123.2,0,0.6666666666666666,0,0.26666666666666666,11
EMR,2012,11.8975,2.41,20.86,9.215,1.2675,0.00018469,19431644646.350098,4023024.4,0.33333333333333337,0.5,0.33333333333333337,0.4,7
MSFT,2013,11.13,2.8425,27.515,15.5125,0.7725,0.000143697,198351196296.83856,48615468.253968254,0.5,0.5,0.625,0.525,4
CSCO,2013,8.5,1.4275,17.615000000000002,10.13,0.7175,0.000128736,61648296413.42162,39114258.333333336,0.5,1,0.75,0.7500000000000001,1
INTC,2013,9.2125,1.5825,18.6275,11.665,0.6074999999999999,0.000212235,73782161021.84395,39111776.190476194,0.375,0.25,0,0.25,10
PFE,2013,5.675,1.4125,27.7975,12.3075,1.255,0.000214755,95234648475.94766,38528430.48809524,0.375,1,0,0.55,3
WMT,2013,11.595,2.485,21.945,8.445,1.6125,0.000122852,157307758313.10855,20854488.095238097,0,0.625,0.5,0.35,9
XOM,2013,6.9575,1.405,21.3575,10.89,0.9625,0.000176356,235304864448.64056,12631733.73015873,0.25,0.5,0.75,0.45000000000000007,6
QCOM,2013,12.77,2.2275,18.36,14.52,0.2575,0.000106699,51286161586.47628,11823720.634920634,0.5,0.75,0.75,0.65,2
TSM,2013,10.9725,2.5525,24.555,17.4275,0.48,0.000149709,66835435441.24184,10370385.714285716,0.25,0.375,0,0.25,10
PG,2013,13.855,2.185,16.97,8.2525,1.0425,0.000173969,130538392674.32507,8653309.921,0,0.75,0.75,0.45000000000000007,6
ABT,2013,13.0175,1.85,15.17,7.1325,0.8375,8.052560875907102e-05,49134678569.87444,8065756.746031746,0,0.25,0.75,0.25,10
DIS,2013,17.165,2.2325,13.8275,7.7125,0.7625,5.41432969574292e-05,101178370795.04616,7774559.920634921,0,1,0.5,0.5,5
TXN,2013,15.83,2.7775,17.795,9.99,0.76,0.000158491,24535556465,7591662.301587301,0,0.5,0.25,0.25,10
COP,2013,6.8125,1.08,16.4,6.885,1.3375,0.000247771,54467250127.59896,5892009.920634921,0,0.5,0.25,0.25,10
BP,2013,2.8975,0.545,18.865,7.775,1.36,0.000397659,55694580699.26717,5683127.380952381,0.5,1,0.75,0.7500000000000001,1
UNH,2013,10.56,1.77,17.435000000000002,6.8325,1.5725,7.540644050122774e-05,49076144852.305305,5427813.492063492,0,0.25,0,0.1,12
CVS,2013,12.4625,1.3675000000000002,11.34,6.4925,0.77,8.577654220390936e-05,53672990208.00056,5361786.904761905,0,1,0,0.4,7
RTX,2013,7.2625,1.49,21.9775,6.8825,2.0225,0.000116528,62832032200,5099514.087301588,0.125,0.75,0.25,0.4,7
MDT,2013,10.96,2.09,20.0075,10.375,0.9175,0.000111035,49362647750.84309,4442926.984126984,0,0.25,0.5,0.2,11
AMGN,2013,12.39,2.7625,23.7675,8.775,1.7075,0.000101727,40260018017.66682,3913050.396825397,0,0.75,0.25,0.35000000000000003,8
UNP,2013,13.345,2.6675,20.8375,8.725,1.375,0.000100804,34373657199.98678,3711199.206349206,0,1,0.75,0.55,3
MSFT,2014,14.42,3.405,24.9675,13.66,0.8725,0.000126279,266675903645.7755,33331748.41269841,0.1,0.2,0.19999999999999996,0.16,14
CSCO,2014,11.28,1.53,13.83,7.827500000000001,0.8175,0.000174098,68124562973.29494,32836812.698412698,0.19999999999999996,0.2,0.30000000000000004,0.22000000000000003,11
INTC,2014,11.6475,2.07,18.3825,11.5525,0.6,0.000165785,100639795014.26633,31608351.19047619,0,0.2,0.19999999999999996,0.12000000000000001,15
CMCSA,2014,14.1275,2.06,15.23,4.984999999999999,2.01,6.52479483669528e-05,76495823143,29579292.85714286,0,1,0.6,0.52,3
PFE,2014,10.3825,1.525,16.6475,7.449999999999999,1.2425,0.000219831,102917880141.62357,27509670.194444444,0,0.8,0.4,0.4000000000000001,6
WMT,2014,12.53,2.4175,19.95,7.76,1.51,0.000121529,165531342537.24094,19546836.904761903,0.1,0.2,0.8,0.28,9
ORCL,2014,14.565,3.29,23.9975,12.345,0.985,5.725017967542688e-05,95270678625.85118,15168297.222222222,0.2,0.6000000000000001,0.19999999999999996,0.36000000000000004,8
XOM,2014,7.8725,1.39,18.26,9.4725,0.9125,0.000176236,259904004237.01215,11726997.222222222,0.3,0.2,0.8,0.36000000000000004,8
TSM,2014,11.205,2.6950000000000003,24.51,16.5675,0.4625,0.000117079,78233832748.95992,11061446.031746032,0.1,0.30000000000000004,0.19999999999999996,0.2,12
QCOM,2014,12.7425,2.4275,20.0875,16.0775,0.2475,0.000115251,60011722527.67997,9495784.126984129,0.3,1,0.8,0.68,1
MDLZ,2014,16.215,1.5525,9.995,4.3975,1.3,8.106724685487246e-05,36673509907.57897,8192404.761904762,0,0.8,0.6,0.44000000000000006,4
PG,2014,16.759999999999998,2.4425,15.1125,7.365,1.0675,0.000169214,141114322780.72302,8108636.111111111,0,0.2,0.4,0.16000000000000003,13
MDT,2014,15.2275,2.3825000000000003,16.4325,8.5075,0.955,9.497932134362292e-05,61729315597.19497,7105598.412698412,0,0.2,0,0.08,16
DIS,2014,18.87,2.8025,15.5525,8.9475,0.755,5.4256196871254965e-05,137598288284.82776,6677810.714285715,0,1,0.8,0.56,2
COP,2014,7.755000000000001,1.205,16.2075,7.24,1.2,0.000216105,64989262193.44513,6213914.682539683,0,0.5,0.8,0.36000000000000004,8
RTX,2014,8.42,1.4675,17.975,6.555,1.6800000000000002,0.000109719,72555144541.99553,6067903.015873016,0.1,0.30000000000000004,0.6,0.28,9
CVS,2014,15.13,1.815,12.36,6.595,0.9225,7.940732520011173e-05,72958586249.68268,4659891.27,0,1,0,0.4,7
LLY,2014,19.0025,3.365,17.655,8.8825,1.04,0.000159575,44919979109.75901,4628769.841269841,0,0.2,0.8,0.24000000000000005,10
UNH,2014,13.3575,2.195,17.1175,6.6125,1.62,7.685461402275859e-05,63711586527.61154,4211315.476190476,0,0.2,0,0.08,16
UNP,2014,15.572500000000002,3.465,22.765,9.515,1.4275,9.441462044768662e-05,47020223398.48836,3739396.031746032,0,1,0.19999999999999996,0.44,5
PFE,2015,15.125,1.89,11.9075,5.035,1.4775,0.000201224,118423997867.30876,30341045.46031746,0,0.4,0,0.16000000000000003,12
INTC,2015,10.505,2.0275,20.435,12.5525,0.6475,0.000151132,1.09782E+11,30292641.26984127,0.19999999999999996,0.6,0,0.31999999999999995,10
CMCSA,2015,13.93,2.145,15.885000000000002,5.26,2.05,8.410119691397083e-05,86091597016.00328,28060342.85714286,0.2,1,0.6,0.6000000000000001,2
WMT,2015,12.2875,2.3375,19.01,7.7575,1.445,0.000131451,158887237718.8072,27127936.904761903,0.3,0.2,0.8,0.36000000000000004,7
CSCO,2015,11.81,1.77,15.5975,8.4925,0.8475,0.000164806,80565314647.12961,27094164.682539683,0,0.7,0,0.27999999999999997,11
ORCL,2015,15.8,3.1425,20.5,9.67,1.2275,6.459710790229354e-05,98091495311.58556,14885947.61904762,0.2,0.2,0,0.16000000000000003,12
XOM,2015,10.3025,1.2175,12.2075,6.3475,0.93,0.000209686,228069037372.5529,14089219.444444444,0.4,0.2,0.6,0.36000000000000004,7
QCOM,2015,12.6,2.0775,16.072499999999998,11.87,0.5275,0.000163514,50660526331.64007,13022695.23809524,0.7,0.2,0,0.36,8
TSM,2015,9.19,2.5125,27.51,19.24,0.4075,0.000166616,89844642604.47871,12244503.174603175,0.6,0.9,0.4,0.6800000000000002,1
MRK,2015,13.8775,2.315,19.185,8.8475,1.2375,0.000177879,98971595578.21516,11694978.825396825,0.39999999999999997,1,0,0.56,3
MDLZ,2015,15.5025,1.9725,18.69,7.705,1.425,7.732171015353163e-05,42417733398.81506,9556009.126984129,0.1,1,0.4,0.52,4
IBN,2015,13.7125,0,44.8625,4.7325,2.1175,6.840697486196395e-05,29942047456.506508,8998479.285714285,0.3,0.6,0.6,0.48,6
PG,2015,21.1325,2.5375,12.3025,5.945,1.06,0.000170665,140124125724.4616,8828651.984126983,0,0.2,0.4,0.16000000000000003,12
DIS,2015,19.9725,3.285,17.22,9.7525,0.7825,5.208335779622691e-05,178341364877.75113,8341311.111111111,0,1,0.4,0.48000000000000004,5
RTX,2015,7.0925,1.465,20.43,7.1425,1.9625,0.000119868,70891814110.99553,7196744.357142857,0.5,0.7,0.4,0.56,3
ABT,2015,12.8,2.5225,19.915,10.42,0.9425,0.00010206,66480305400.30915,5828200.396825396,0.2,0.9,0.4,0.52,4
UNP,2015,12.885,3.0700000000000003,24.0225,9.525,1.5875,0.000112426,47059699455.56641,5323855.158730159,0.3,1,0,0.52,4
EMR,2015,10.365,3.0825,28.49,11.1175,1.7075,0.000183541,22878687376.14949,4930177.777777778,0.5,1,0,0.6000000000000001,2
CVS,2015,17.377499999999998,2.2475,13.22,6.3925,1.245,7.238384124013582e-05,95888136777.53424,4849062.698412699,0,0.8,0,0.32000000000000006,9
UNH,2015,16.495,2.94,18.3625,6.515,2.0375,7.453105568966637e-05,90400895935,4220439.682539683,0,0.4,0,0.16000000000000003,12
AAPL,2016,11.65,4.112500000000001,37.165,15.6675,1.4425,9.557860202395392e-05,3.55101E+11,153690123.80952382,0.6,0.4,0,0.4,7
PFE,2016,17.33,2.0475,10.9725,4.1775,1.74,0.00022085,119454177955.91393,32815414.55952381,0,0.2,0,0.08,16
WMT,2016,12.7475,2.27,17.9625,7.265,1.505,0.000134006,157093199022.00668,28116755.95238095,0.4,0.2,0.6,0.36000000000000004,9
CSCO,2016,10.285,1.7075,17.13,9.1,0.9125,0.000181986,86126600745.06487,24814713.492063493,0.3,0.8,0,0.44000000000000006,5
INTC,2016,13.045,2.1075,17.3325,10.0875,0.75,0.000161515,117471723055.58974,22869875.4,0,0.2,0,0.08,16
CMCSA,2016,15.565,2.2875,15.3575,4.9275,2.16,0.000104725,93978892122,20417714.285714287,0,0.7,0.19999999999999996,0.31999999999999995,12
ORCL,2016,16.6475,2.975,18.8025,8.0175,1.4300000000000002,7.052844598154092e-05,95806206126.00745,13721410.317460315,0.2,0.2,0,0.16000000000000003,14
IBN,2016,14.8125,0,36.655,3.8875,2.1075,8.707131144696032e-05,22551432874.54169,12098924.007936507,0.3,0.30000000000000004,0.6,0.36,10
PG,2016,17.175,3.05,18.66,8.7475,1.1725,0.000165739,152951616530.9518,12013682.53968254,0.1,1,0,0.44,6
MRK,2016,22.74,2.7225,10.84,4.83,1.27,0.00016593,103990322265.70271,10672921.424603175,0,0.4,0,0.16000000000000003,14
QCOM,2016,13.605,2.22,16.814999999999998,10.155,0.67,0.000179966,48144496253.27302,10198505.555555556,0.3,0.30000000000000004,0,0.24000000000000002,13
DIS,2016,16.54,3.1825,19.0625,10.1775,0.915,6.24161258853228e-05,163270288261.76096,8126767.063492063,0.39999999999999997,1,0,0.56,3
TSM,2016,12.3075,2.945,24.58,17.6625,0.3974999999999999,0.000184187,109924825991.19496,7093236.904761905,0,0.7,0.6,0.39999999999999997,8
RTX,2016,6.8025,1.4449999999999998,22.2175,7.522500000000001,1.9725,0.000128264,68799815104.75397,6907902.646825396,0.7,1,0.4,0.76,1
CVS,2016,15.0375,2.07,14.0625,5.5600000000000005,1.6075,9.399680633148255e-05,89145954180,5832835.714285715,0.3,0.6,0,0.36,10
NVO,2016,18.325,2.805,86.5175,41.6475,1.1375,0.000129548,68030851209.23268,4963715.873015873,0.5,1,0,0.6000000000000001,2
UNP,2016,14.765,3.0925,21.235,7.885,1.7575,0.000122378,43037419196,4676495.238095238,0.19999999999999996,0.4,0,0.24000000000000002,13
DHR,2016,13.19,1.555,12.5725,6.395,0.94,0.001463095,37840506725.84625,3969327.337301587,0,0.30000000000000004,0,0.12000000000000002,15
EMR,2016,16.19,3.575,22.3275,8.08,1.6725,0.0001877,23297035818.481445,3912664.285714286,0.1,0.6000000000000001,0.19999999999999996,0.32,11
HON,2016,15.3225,3.8175,26.3525,9.7825,1.745,0.000105019,56372394760.46181,3507332.1507936507,0.2,0.9,0.4,0.52,4
AAPL,2017,15.71,5.422499999999999,36.0375,13.9825,1.7025,6.856453526835682e-05,520717700075.6076,108538270.91633466,0,0.4,0,0.16000000000000003,14
WMT,2017,16.2725,2.5775,16.255000000000003,6.3825,1.5725,0.000115952,183493319944.4405,26710743.824701197,0,0.2,0.19999999999999996,0.12000000000000001,16
INTC,2017,13.5725,2.1825,17.7275,10.1,0.7725,0.000133463,137232094304.55904,23903249.40239044,0,0.4,0,0.16000000000000003,14
PFE,2017,14.3075,2.23,19.06,6.835,1.74,0.000218812,128837921797.96338,20732164.05179283,0.2,0.7,0.1,0.38,11
CMCSA,2017,13.64,2.515,22.2525,7.0575,2.11,6.009393661785733e-05,115891752164.34756,20357491.633466136,0.4,1,0.4,0.6400000000000001,2
CSCO,2017,13.105,1.9475,15.2075,7.775,0.965,0.000179973,102614771274.0955,20208953.78486056,0,0.30000000000000004,0,0.12000000000000002,15
ORCL,2017,18.5375,3.145,18.445,7.4575,1.4475,7.179793145505515e-05,115427417656.17906,13626900.398406375,0.1,0.2,0,0.12000000000000001,16
AMAT,2017,15.45,5.01,36.3625,17.505,1.1175,3.926799405043181e-05,32631430151.20973,10091291.633466136,0.4,1,0,0.56,4
GILD,2017,8.3225,3.1575,50.5075,17.6575,1.84,0.000155575,66464012219.65208,9125664.143426295,0.6000000000000001,0.4,0.19999999999999996,0.44000000000000006,9
DIS,2017,16.83,3.375,20.39,10.27,1.04,6.525294333334394e-05,180847380187.82996,7416448.207171314,0.3,1,0,0.52,6
PG,2017,14.6375,3.3425,24.735,11.325,1.215,0.000153025,168569249852.70407,7301870.517928286,0.3,1,0,0.52,6
CVS,2017,11.675,1.7525,15.7075,5.915,1.6575,0.000131941,76064990071.75514,7029502.390438248,0.7,0.7,0,0.5599999999999999,5
NEE,2017,12.735,2.0025,16.595,4.76,2.4425,0.000132613,59545648709.33743,6756489.243027888,0.3,1,0.8,0.68,1
